College,Email,Sent_Status
Belmont University,buadmission@belmont.edu,Sent
Beloit College,admiss@beloit.edu,Sent
Bemidji State University,admissions@bemidjistate.edu,Sent
Benedict College,admissions@benedict.edu,Sent
Benedictine College,bcaudle@benedictine.edu,Sent
Benedictine College,bcadmiss@benedictine.edu,Sent
Benedictine University Az,mesa@ben.edu,Sent
Benedictine University Il,admissions@ben.edu,Sent
Bennett College,admiss@bennett.edu,Sent
Bennington College,admissions@bennington.edu,Sent
Bentley University,ugadmission@bentley.edu,Sent
Berea College,admissions@berea.edu,Sent
Berklee College Of Music,admissions@berklee.edu,Sent
Berry College,admissions@berry.edu,Sent
Bethany College,enrollment@bethanywv.edu,Sent
Bethany College,admissions@bethanylb.edu,Sent
Bethany Lutheran College,admissions@blc.edu,Sent
Bethel College,admissions@bethelcollege.edu,Sent
Bethel College,admissions@bethelks.edu,Sent
Bethel University,admissions@bethelu.edu,Sent
Bethel University,buadmissions-cas@bethel.edu,Sent
Bethune Cookman University,admissions@cookman.edu,Sent
Beulah Heights University,admissions@beulah.edu,Sent
Biola University,admissions@biola.edu,Sent
Birmingham Southern College,admiss@bsc.edu,Sent
Birmingham Southern College,admission@bsc.edu,Sent
Bishops University,admissions@ubishops.ca,Sent
Black Hills State University,admissions@bhsu.edu,Sent
Blackburn College,admit@blackburn.edu,Sent
Blessing Rieman College Of Nursing,admissions@brcn.edu,Sent
Bloomfield College,admission@bloomfield.edu,Sent
Bloomsburg University Of Pennsylvania,buadmiss@bloomu.edu,Sent
Blue Mountain College,admissions@bmc.edu,Sent
Bluefield College,admissions@bluefield.edu,Sent
Bluefield State College,jschlimmer@bluefieldstate.edu,Sent
Bluffton University,admissions@bluffton.edu,Sent
Bob Jones University,admission@bju.edu,Sent
Boise State University,admissions@boisestate.edu,Sent
Boston College,bcapplicant@bc.edu,Sent
Boston College,studentservices@bc.edu,Sent
Boston University,admissions@bu.edu,Sent
Bournemouth University Uk,international@bournemouth.ac.uk,Sent
Bowdoin College,admissions@bowdoin.edu,Sent
Bowie State University,ugradadmissions@bowiestate.edu,Sent
Bowling Green State University,choosebgsu@bgsu.edu,Sent
Bradley University,admissions@bradley.edu,Sent
Brandeis University,admissions@brandeis.edu,Sent
Brenau University,admissions@brenau.edu,Sent
Brescia University,admissions@brescia.edu,Sent
Brevard College,admissions@brevard.edu,Sent
Brewton Parker College,admissions@bpc.edu,Sent
Briar Cliff University,admissions@briarcliff.edu,Sent
Bridgewater College,admissions@bridgewater.edu,Sent
Bridgewater State University,admission@bridgew.edu,Sent
Brigham Young University Hawaii,admissions@byuh.edu,Sent
Brigham Young University Idaho,admissions@byui.edu,Sent
Brigham Young University Provo,admissions@byu.edu,Sent
Brown University,admission_undergraduate@brown.edu,Sent
Brunel University London,international-admissions@brunel.ac.uk,Sent
Bryan College,admiss@bryan.edu,Sent
Bryant University,admission@bryant.edu,Sent
Bryn Athyn College,admissions@brynathyn.edu,Sent
Bryn Mawr College,admissions@brynmawr.edu,Sent
Bucknell University,admissions@bucknell.edu,Sent
Buena Vista University,admissions@bvu.edu,Sent
Butler University,admission@butler.edu,Sent
Cabarrus College Of Health Sciences,admissions@cabarruscollege.edu,Sent
Cabrini University,admit@cabrini.edu,Sent
Cairn University,admissions@cairn.edu,Sent
Caldwell University,admissions@caldwell.edu,Sent
California Baptist University,admissions@calbaptist.edu,Sent
California College Arts,admissions@cca.edu,Sent
California College Of The Arts,enroll@cca.edu,Sent
California Institute Of The Arts,admissions@calarts.edu,Sent
California Institute Technology Caltech,ugadmissions@caltech.edu,Sent
California Lutheran University,admissions@callutheran.edu,Sent
California Maritime Academy,admissions@csum.edu,Sent
California State Polytechnic University Pomona,admissions@cpp.edu,Sent
California State University Bakersfield,admissions@csub.edu,Sent
California State University Chico,info@csuchico.edu,Sent
California State University Dominguez Hills,info@csudh.edu,Sent
California State University East Bay,admissions@csueastbay.edu,Sent
California State University Fresno,admissions@csufresno.edu,Sent
California State University Fullerton,admissions@fullerton.edu,Sent
California State University Long Beach,eslb@csulb.edu,Sent
California State University Los Angeles,admission@calstatela.edu,Sent
California State University Monterey Bay,admissions@csumb.edu,Sent
California State University Northridge,admissions.records@csun.edu,Sent
California State University Sacramento,admissions@csus.edu,Sent
California State University San Bernardino,moreinfo@csusb.edu,Sent
California State University San Marcos,apply@csusm.edu,Sent
California State University Stanislaus,outreach_help_desk@csustan.edu,Sent
California University Of Pennsylvania,inquiry@calu.edu,Sent
California University Pennsylvania,admissions@calu.edu,Sent
Calumet College Of St Joseph,admissions@ccsj.edu,Sent
Calvary University,admissions@calvary.edu,Sent
Calvin College,admissions@calvin.edu,Sent
Cambridge College,admissions@cambridgecollege.edu,Sent
Cameron University,admissions@cameron.edu,Sent
Campbellsville University,admissions@campbellsville.edu,Sent
Canisius College,admissions@canisius.edu,Sent
Capital University,admission@capital.edu,Sent
Capitol Technology University,admissions@captechu.edu,Sent
Cardinal Stritch University,admissions@stritch.edu,Sent
Caribbean University,admisiones@caribbean.edu,Sent
Carleton College,admissions@carleton.edu,Sent
Carlow University,admissions@carlow.edu,Sent
Carroll College,enroll@carroll.edu,Sent
Carroll College Montana,admission@carroll.edu,Sent
Carroll University,info@carrollu.edu,Sent
Carson Newman University,admitme@cn.edu,Sent
Carthage College,admissions@carthage.edu,Sent
Case Western Reserve University,admission@case.edu,Sent
Castleton University,info@castleton.edu,Sent
Catawba College,admission@catawba.edu,Sent
Catawba College,admissions@catawba.edu,Sent
Catholic University America,cua-admissions@cua.edu,Sent
Cazenovia College,admission@cazenovia.edu,Sent
Cedar Crest College,admissions@cedarcrest.edu,Sent
Cedarville University,admiss@cedarville.edu,Sent
Centenary College Louisiana,admission@centenary.edu,Sent
Centenary University,admissions@centenaryuniversity.edu,Sent
Centenary University,centuadmissions@centenaryuniversity.edu,Sent
Central Christian College Of Kansas,admissions@centralchristian.edu,Sent
Central College,admission@central.edu,Sent
Central Connecticut State University,admissions@ccsu.edu,Sent
Central Methodist University,admissions@centralmethodist.edu,Sent
Central Michigan University,cmuadmit@cmich.edu,Sent
Central Penn College,admissions@centralpenn.edu,Sent
Central State University,admissions@centralstate.edu,Sent
Central Washington University,admissions@cwu.edu,Sent
Centre College,admission@centre.edu,Sent
Chadron State College,cscadmissions@csc.edu,Sent
Chaminade University Honolulu,admissions@chaminade.edu,Sent
Champlain College,admission@champlain.edu,Sent
Chapman University,admit@chapman.edu,Sent
Charles R Drew University Medicine And Science,admissionsinfo@cdrewu.edu,Sent
Charleston Southern University,enroll@csuniv.edu,Sent
Charter Oak State College,admissions@charteroak.edu,Sent
Chatham University,admissions@chatham.edu,Sent
Chestnut Hill College,admissions@chc.edu,Sent
Cheyney University Of Pennsylvania,admissions@cheyney.edu,Sent
Chicago State University,ug-admissions@csu.edu,Sent
Chipola College,hambrightb@chipola.edu,Sent
Chowan University,enroll@chowan.edu,Sent
Christendom College,admissions@christendom.edu,Sent
Christian Brothers University,admissions@cbu.edu,Sent
Christopher Newport University,admit@cnu.edu,Sent
Cincinnati Christian University,ccuadmissions@ccuniversity.edu,Sent
Claflin University,admissions@claflin.edu,Sent
Claremont Mckenna College,admission@cmc.edu,Sent
Clarion University Of Pennsylvania,admissions@clarion.edu,Sent
Clark Atlanta University,admissions@cau.edu,Sent
Clark University,admissions@clarku.edu,Sent
Clarke University,admissions@clarke.edu,Sent
Clarks Summit University,admissions@clarkssummitu.edu,Sent
Clarkson College,admissions@clarksoncollege.edu,Sent
Clarkson University,admission@clarkson.edu,Sent
Clayton State University,ccsu-info@clayton.edu,Sent
Clear Creek Baptist Bible College,admissions@ccbbc.edu,Sent
Cleary University,admissions@cleary.edu,Sent
Clemson University,cuadmissions@clemson.edu,Sent
Cleveland Institute Of Music,admission@cim.edu,Sent
Cleveland State University,admissions@csuohio.edu,Sent
Coastal Carolina University,admissions@coastal.edu,Sent
Coe College,admission@coe.edu,Sent
Cogswell Polytechnical College,info@cogswell.edu,Sent
Coker College,admissions@coker.edu,Sent
Colby College,admissions@colby.edu,Sent
Colby Sawyer College,admissions@colby-sawyer.edu,Sent
Colgate University,admission@colgate.edu,Sent
College Of Charleston,admissions@cofc.edu,Sent
College of Idaho,admission@collegeofidaho.edu,Sent
College of Mount Saint Vincent,admissions@mountsaintvincent.edu,Sent
College Of Mount St Vincent,admissions.office@mountsaintvincent.edu,Sent
College of New Jersey,tcnjinfo@tcnj.edu,Sent
College of New Rochelle,admission@cnr.edu,Sent
College Of Saint Benedict,admissions@csbsju.edu,Sent
College of Saint Elizabeth,apply@cse.edu,Sent
College of Saint Rose,admit@strose.edu,Sent
College Of St Mary,enroll@csm.edu,Sent
College Of Staten Island Cuny,admissions@csi.cuny.edu,Sent
College of the Atlantic Atlantic,inquiry@coa.edu,Sent
College of the Holy Cross,admissions@holycross.edu,Sent
College Of The Ozarks,admissions@cofo.edu,Sent
College of William & Mary,admission@wm.edu,Sent
College St Joseph,admissions@csj.edu,Sent
College St Scholastica,admissions@css.edu,Sent
College Wooster,admissions@wooster.edu,Sent
Colorado Christian University,ccuadmissions@ccu.edu,Sent
Colorado College,admission@coloradocollege.edu,Sent
Colorado Mesa University,admissions@coloradomesa.edu,Sent
Colorado School Of Mines,admit@mines.edu,Sent
Colorado State University,admissions@colostate.edu,Sent
Colorado State University Pueblo,info@csupueblo.edu,Sent
Columbia College,admissions@ccis.edu,Sent
Columbia College,admissions@columbiasc.edu,Sent
Columbia College Chicago,admissions@colum.edu,Sent
Columbia College Hollywood,admissions@columbiacollege.edu,Sent
Columbia International University,yesciu@ciu.edu,Sent
Columbus College Of Art And Design,admissions@ccad.edu,Sent
Columbus State University,admissions@columbusstate.edu,Sent
Concord University,admissions@concord.edu,Sent
Concordia College,admission@concordia-ny.edu,Sent
Concordia College Moorhead,admissions@cord.edu,Sent
Concordia University Chicago,Admission@CUChicago.edu,Sent
Concordia University Irvine,admissions@cui.edu,Sent
Concordia University Irvine,admission@cui.edu,Sent
Concordia University Nebraska,admiss@cune.edu,Sent
Concordia University Portland Or,admission@cu-portland.edu,Sent
Concordia University St Paul,admissions@csp.edu,Sent
Concordia University St Paul,admission@csp.edu,Sent
Concordia University Texas,admissions@concordia.edu,Sent
Concordia University Wisconsin,admissions@cuw.edu,Sent
Connecticut College,admission@conncoll.edu,Sent
Conservatory Of Music Of Puerto Rico,admisiones@cmpr.edu,Sent
Converse College,admissions@converse.edu,Sent
Cooper Union Advancement Science And Art,admissions@cooper.edu,Sent
Coppin State University,admissions@coppin.edu,Sent
Corban University,admissions@corban.edu,Sent
Cornell College,admission@cornellcollege.edu,Sent
Cornerstone University,admissions@cornerstone.edu,Sent
Cornish College Of The Arts,admission@cornish.edu,Sent
Covenant College,admissions@covenant.edu,Sent
Creighton University,admissions@creighton.edu,Sent
Criswell College,enrollment@criswell.edu,Sent
Crown College,admissions@crown.edu,Sent
Culinary Institute America Ny,admissions@culinary.edu,Sent
Culver Stockton College,admission@culver.edu,Sent
Cumberland University,admissions@cumberland.edu,Sent
Cuny Baruch College,admissions@baruch.cuny.edu,Sent
Cuny City College,admissions@ccny.cuny.edu,Sent
Cuny Hunter College,admissions@hunter.cuny.edu,Sent
Cuny John Jay College Of Criminal Justice,admissions@jjay.cuny.edu,Sent
Cuny Lehman College,enroll@lehman.cuny.edu,Sent
Cuny Medgar Evers College,applytomec@mec.cuny.edu,Sent
Cuny New York City College Of Technology,admissions@citytech.cuny.edu,Sent
Cuny Queens College,admissions@qc.cuny.edu,Sent
Cuny York College,admissions@york.cuny.edu,Sent
Curry College,adm@curry.edu,Sent
Daemen College,admissions@daemen.edu,Sent
Dakota State University,admissions@dsu.edu,Sent
Dakota Wesleyan University,admissions@dwu.edu,Sent
Dallas Baptist University,admiss@dbu.edu,Sent
Dallas Christian College,admissions@dallas.edu,Sent
Dalton State College,admissions@daltonstate.edu,Sent
Dartmouth College,admissions.office@dartmouth.edu,Sent
Davenport University,info@davenport.edu,Sent
Davidson College,admission@davidson.edu,Sent
Davis Elkins College,summersm@dewv.edu,Sent
Dean College,admissions@dean.edu,Sent
Dean College,admission@dean.edu,Sent
Defiance College,admissions@defiance.edu,Sent
Delaware State University,admissions@desu.edu,Sent
Delaware Valley University,admitme@delval.edu,Sent
Delta State University,admissions@deltastate.edu,Sent
Denison University,admissions@denison.edu,Sent
Denison University,admission@denison.edu,Sent
Depaul University,admission@depaul.edu,Sent
Depauw University,admission@depauw.edu,Sent
Desales University,admiss@desales.edu,Sent
Dickinson College,admissions@dickinson.edu,Sent
Dickinson State University,dsu.hawks@dickinsonstate.edu,Sent
Digipen Institute Of Technology,admissions@digipen.edu,Sent
Dillard University,admissions@dillard.edu,Sent
Dixie State University,admissions@dixie.edu,Sent
Doane University,admissions@doane.edu,Sent
Dominican College,admissions@dc.edu,Sent
Dominican University,domadmis@dom.edu,Sent
Dominican University California,enroll@dominican.edu,Sent
Dordt College,admissions@dordt.edu,Sent
Doshisha University Institute Liberal Arts,ji-ila@mail.doshisha.ac.jp,Sent
Drake University,admission@drake.edu,Sent
Drew University,cadm@drew.edu,Sent
Drexel University,enroll@drexel.edu,Sent
Drury University,druryad@drury.edu,Sent
Duke Kunshan University,undergrad-admissions@dukekunshan.edu.cn,Sent
Duke University,undergrad-admissions@duke.edu,Sent
Duquesne University,admissions@duq.edu,Sent
Durham University,study@durham.ac.uk,Sent
Dyouville College,admissons@dyc.edu,Sent
Earlham College,admission@earlham.edu,Sent
Earlham College,admissions@earlham.edu,Sent
East Carolina University,admis@ecu.edu,Sent
East Central University,admissions@ecok.edu,Sent
East Stroudsburg University Of Pennsylvania,undergrads@esu.edu,Sent
East Tennessee State University,go2etsu@etsu.edu,Sent
East Texas Baptist University,admissions@etbu.edu,Sent
East West University,admissions@eastwest.edu,Sent
Eastern Connecticut State University,admissions@easternct.edu,Sent
Eastern Illinois University,admissions@eiu.edu,Sent
Eastern Kentucky University,admissions@eku.edu,Sent
Eastern Mennonite University,admiss@emu.edu,Sent
Eastern Michigan University,admissions@emich.edu,Sent
Eastern Nazarene College,admissions@enc.edu,Sent
Eastern New Mexico University,enrollment.services@enmu.edu,Sent
Eastern Oregon University,admissions@eou.edu,Sent
Eastern University,ugadm@eastern.edu,Sent
Eastern Washington University,admissions@ewu.edu,Sent
Eckerd College,admissions@eckerd.edu,Sent
Edgewood College,admissions@edgewood.edu,Sent
Edinboro University Pennsylvania,admissions@edinboro.edu,Sent
Edward Waters College,admissions@ewc.edu,Sent
Elizabeth City State University,admissions@ecsu.edu,Sent
Elizabethtown College,admissions@etown.edu,Sent
Elmhurst College,admit@elmhurst.edu,Sent
Elmira College,admissions@elmira.edu,Sent
Elms College,admissions@elms.edu,Sent
Elon University,admissions@elon.edu,Sent
Embry Riddle Aeronautical University Daytona Beach,dbadmit@erau.edu,Sent
Embry Riddle Aeronautical University Prescott,pradmit@erau.edu,Sent
Embry Riddle Aeronautical University Worldwide Campus,wwadmissions@erau.edu,Sent
Emerson College,admission@emerson.edu,Sent
Emily Carr University Of Art Design,admissions@ecuad.ca,Sent
Emmanuel College,enroll@emmanuel.edu,Sent
Emmanuel College Ga,admissions@ec.edu,Sent
Emmanuel College Ma,admissions@emmanuel.edu,Sent
Emmaus Bible College,admissions@emmaus.edu,Sent
Emory Henry College,ehadmiss@ehc.edu,Sent
Emory University,admission@emory.edu,Sent
Emporia State University,go2esu@emporia.edu,Sent
Endicott College,admission@endicott.edu,Sent
Erskine College,admissions@erskine.edu,Sent
Escp Europe Business School,bachelorlondon@escpeurope.eu,Sent
Eugene Lang College The New School For Liberal Arts,lang@newschool.edu,Sent
Eureka College,admissions@eureka.edu,Sent
Evangel University,admissions@evangel.edu,Sent
Evergreen State College,admissions@evergreen.edu,Sent
Fairfield University,admis@fairfield.edu,Sent
Fairleigh Dickinson University,admissions@fdu.edu,Sent
Fairmont State University,admit@fairmontstate.edu,Sent
Faith Baptist Bible College And Theological Seminary,admissions@faith.edu,Sent
Fashion Institute Of Technology,fitinfo@fitnyc.edu,Sent
Faulkner University,admissions@faulkner.edu,Sent
Fayetteville State University,admissions@uncfsu.edu,Sent
Felician University,admissions@felician.edu,Sent
Ferris State University,admissions@ferris.edu,Sent
Ferrum College,admissions@ferrum.edu,Sent
Fisher College,admissions@fisher.edu,Sent
Fisk University,admit@fisk.edu,Sent
Fitchburg State University,admissions@fitchburgstate.edu,Sent
Five Towns College,admissions@ftc.edu,Sent
Flagler College,admissions@flagler.edu,Sent
Flashpoint Chicago Campus Columbia College Hollywood,flashpoint.admissions@columbiacollege.edu,Sent
Florida Agricultural Mechanical University,ugrdadmissions@famu.edu,Sent
Florida Atlantic University,admissions@fau.edu,Sent
Florida College,admissions@floridacollege.edu,Sent
Florida Gulf Coast University,admissions@fgcu.edu,Sent
Florida Institute Technology,admission@fit.edu,Sent
Florida International University,admiss@fiu.edu,Sent
Florida Memorial University,admit@fmuniv.edu,Sent
Florida National University,admissions@fnu.edu,Sent
Florida Polytechnic University,admissions@flpoly.org,Sent
Florida Southern College,fscadm@flsouthern.edu,Sent
Florida State University,admissions@fsu.edu,Sent
Fontbonne University,fbyou@fontbonne.edu,Sent
Fordham University,enroll@fordham.edu,Sent
Fort Hays State University,tigers@fhsu.edu,Sent
Fort Lewis College,admission@fortlewis.edu,Sent
Fort Valley State University,admissions@fvsu.edu,Sent
Framingham State University,admissions@framingham.edu,Sent
Francis Marion University,admissions@fmarion.edu,Sent
Franciscan Missionaries Of Our Lady University,ololcinfo@ololcollege.edu,Sent
Franciscan University Of Steubenville,admissions@franciscan.edu,Sent
Franklin College,admissions@franklincollege.edu,Sent
Franklin Marshall College,admission@fandm.edu,Sent
Franklin Pierce University,admissions@franklinpierce.edu,Sent
Franklin University Switzerland,info@fus.edu,Sent
Franklin W Olin College Engineering,apply@olin.edu,Sent
Freed Hardeman University,admissions@fhu.edu,Sent
Fresno Pacific University,admissions@fresno.edu,
Friends University,admission@friends.edu,
Frostburg State University,fsuadmissions@frostburg.edu,
Furman University,admission@furman.edu,
Gallaudet University,admissions.office@gallaudet.edu,
Gannon University,admissions@gannon.edu,
Gardner Webb University,admissions@gardner-webb.edu,
George Fox University,admissions@georgefox.edu,
George Mason University,admissions@gmu.edu,
George Washington University,gwadm@gwu.edu,
Georgetown College,admissions@georgetowncollege.edu,
Georgetown University,guadmiss@georgetown.edu,
Georgia College,admissions@gcsu.edu,
Georgia Gwinnett College,ggcadmissions@ggc.edu,
Georgia Southern University Armstrong And Liberty Campuses,admissions@georgiasouthern.edu,
Georgia Southwestern State University,admissions@gsw.edu,
Georgia State University,admissions@gsu.edu,
Georgian Court University,admissions@georgian.edu,
Gettysburg College,admiss@gettysburg.edu,
Glenville State College,admissions@glenville.edu,
Goddard College,admissions@goddard.edu,
Goldey Beacom College,gbc@gbc.edu,
Goldfarb School Of Nursing At Barnes Jewish College,gson-admissions@bjc.org,
Gonzaga University,admissions@gonzaga.edu,
Gordon College,admissions@gordon.edu,
Gordon State College,gordon@gordonstate.edu,
Goshen College,admission@goshen.edu,
Goucher College,admissions@goucher.edu,
Governors State University,admissions@govst.edu,
Grace Bible College,graceadmissions@gbcol.edu,
Grace College Seminary,admissions@grace.edu,
Graceland University,admissions@graceland.edu,
Grambling State University,admissions@gram.edu,
Grand Canyon University,facouns@gcu.edu,
Grand Valley State University,go2gvsu@gvsu.edu,
Grand View University,admissions@grandview.edu,
Granite State College,ask.granite@granite.edu,
Great Basin College,admissions@gbcnv.edu,
Green Mountain College,admissions@greenmtn.edu,
Greensboro College,admissions@greensboro.edu,
Greenville University,admissions@greenville.edu,
Grinnell College,admission@grinnell.edu,
Grove City College,admissions@gcc.edu,
Guilford College,admission@guilford.edu,
Gustavus Adolphus College,admission@gustavus.edu,
Gwynedd Mercy University,admissions@gmercyu.edu,
Hamilton College,admission@hamilton.edu,
Hamline University Mn,admission@hamline.edu,
Hampden Sydney College,admissions@hsc.edu,
Hampden Sydney College,hsapp@hsc.edu,
Hampshire College,admissions@hampshire.edu,
Hampton University,admit@hamptonu.edu,
Hannibal Lagrange University,admissions@hlg.edu,
Hanover College,admission@hanover.edu,
Hardin Simmons University,enroll@hsutx.edu,
Harding University,admissions@harding.edu,
Harris Stowe State University,admissions@hssu.edu,
Harrisburg University Science And Technology,UndergraduateAdmissions@HarrisburgU.edu,
Hartwick College,admissions@hartwick.edu,
Harvard College,college@fas.harvard.edu,
Harvey Mudd College,admission@hmc.edu,
Hastings College,hcadmissions@hastings.edu,
Haverford College,admission@haverford.edu,
Hawaii Pacific University,admissions@hpu.edu,
Heidelberg University,admission@heidelberg.edu,
Hellenic College,admissions@hchc.edu,
Henderson State University,admissions@hsu.edu,
Hendrix College,adm@hendrix.edu,
High Point University,admiss@highpoint.edu,
Hilbert College,admissions@hilbert.edu,
Hillsdale College,admissions@hillsdale.edu,
Hiram College,admission@hiram.edu,
Hobart And William Smith Colleges,admissions@hws.edu,
Hodges University,admit@hodges.edu,
Hofstra University,admission@hofstra.edu,
Hollins University,huadm@hollins.edu,
Holy Cross College,admissions@hcc-nd.edu,
Holy Family University,admissions@holyfamily.edu,
Holy Names University,admissions@hnu.edu,
Hood College,admissions@hood.edu,
Hood College,admission@hood.edu,
Hope College,admissions@hope.edu,
Houghton College,admission@houghton.edu,
Houston Baptist University,admissions@hbu.edu,
Howard Payne University,enroll@hputx.edu,
Howard University,admission@howard.edu,
Hult International Business School,undergraduate.info@hult.edu,
Humboldt State University,hsuinfo@humboldt.edu,
Huntingdon College,admiss@hawks.huntingdon.edu,
Huntingdon College Of Health Sciences,admissions@hchs.edu,
Huntington University,admissions@huntington.edu,
Husson University,admit@husson.edu,
Huston Tillotson University,admission@htu.edu,
Idaho State University,admiss@isu.edu,
Ie University,university@ie.edu,
Illinois College,admissions@mail.ic.edu,
Illinois Institute Technology,admission@iit.edu,
Illinois State University,admissions@illinoisstate.edu,
Illinois Wesleyan University,iwuadmit@iwu.edu,
Immaculata University,Admiss@immaculata.edu,
Indiana Institute Of Technology,admissions@indianatech.edu,
Indiana State University,admissions@indstate.edu,
Indiana University Bloomington,iuadmit@indiana.edu,
Indiana University East,applynow@iue.edu,
Indiana University Kokomo,iuadmis@iuk.edu,
Indiana University Northwest,admit@iun.edu,
Indiana University Of Pennsylvania,admissions-inquiry@iup.edu,
Indiana University South Bend,admissions@iusb.edu,
Indiana University Southeast,admissions@ius.edu,
Indiana Wesleyan University,admissions@indwes.edu,
Institute Of American Indian Arts,admissions@iaia.edu,
Inter American University Of Puerto Rico Aguadilla,gcortes@aguadilla.inter.edu,
Inter American University Of Puerto Rico Fajardo,ada.caraballo@fajardo.inter.edu,
Inter American University Of Puerto Rico Guayama,laura.ferrer@guayama.inter.edu,
Inter American University Of Puerto Rico Ponce,admisiones@ponce.inter.edu,
Inter American University Of Puerto Rico San German,milcama@intersg.edu,
Iona College,admissions@iona.edu,
Iowa State University,admissions@iastate.edu,
Iowa Wesleyan University,admit@iw.edu,
IPFW,ask@ipfw.edu,
Ithaca College,admission@ithaca.edu,
IUPUI,apply@iupui.edu,
Jackson State University,admappl@jsums.edu,
Jacksonville State University,info@jsu.edu,
Jacksonville University,admissions@ju.edu,
Jacksonville University,admiss@ju.edu,
